Code,Name,Country,Exchange,Currency,Type,Isin,ticker,name
AOA,Ausmon Resources Ltd,Australia,AU,AUD,Common Stock,AU000000AOA4,AOA,Ausmon Resources Ltd
AOF,Australian Unity Office Fund,Australia,AU,AUD,Common Stock,AU000000AOF3,AOF,Australian Unity Office Fund
AOK,Australian Oil Company Ltd,Australia,AU,AUD,ETF,,AOK,Australian Oil Company Ltd
AON,Apollo Minerals Ltd,Australia,AU,AUD,Common Stock,AU000000AON7,AON,Apollo Minerals Ltd
AOV,Amotiv Ltd,Australia,AU,AUD,Common Stock,,AOV,Amotiv Ltd
APA,APA Group,Australia,AU,AUD,Common Stock,AU000000APA1,APA,APA Group
APC,APC Minerals Ltd,Australia,AU,AUD,Common Stock,AU000000APC7,APC,APC Minerals Ltd
APE,Eagers Automotive Ltd,Australia,AU,AUD,Common Stock,AU000000APE3,APE,Eagers Automotive Ltd
APL,Associate Global Partners Ltd,Australia,AU,AUD,Common Stock,AU000000APL8,APL,Associate Global Partners Ltd
APW,Aims Property Securities Fund,Australia,AU,AUD,ETF,AU000000APW5,APW,Aims Property Securities Fund
APX,Appen Ltd,Australia,AU,AUD,Common Stock,AU000000APX3,APX,Appen Ltd
APZ,Aspen Group,Australia,AU,AUD,Common Stock,AU000000APZ8,APZ,Aspen Group
AQC,Australian Pacific Coal Ltd,Australia,AU,AUD,Common Stock,AU000000AQC5,AQC,Australian Pacific Coal Ltd
AQD,Ausquest Ltd,Australia,AU,AUD,Common Stock,AU000000AQD3,AQD,Ausquest Ltd
AQI,Alicanto Minerals Ltd,Australia,AU,AUD,Common Stock,AU000000AQI2,AQI,Alicanto Minerals Ltd
AQLT,Betashares Australian Quality ETF,Australia,AU,AUD,ETF,,AQLT,Betashares Australian Quality ETF
AQN,Aquirian Ltd,Australia,AU,AUD,Common Stock,AU0000158537,AQN,Aquirian Ltd
AQX,Alice QUEEN Ltd,Australia,AU,AUD,Common Stock,AU000000AQX1,AQX,Alice QUEEN Ltd
AQZ,Alliance Aviation Services Ltd,Australia,AU,AUD,Common Stock,AU000000AQZ6,AQZ,Alliance Aviation Services Ltd
AR1,Austral Resources Australia Ltd,Australia,AU,AUD,Common Stock,AU0000175838,AR1,Austral Resources Australia Ltd
AR3,Australian Rare EARTHS Ltd,Australia,AU,AUD,Common Stock,AU0000154684,AR3,Australian Rare EARTHS Ltd
AR9,Archtis Ltd,Australia,AU,AUD,Common Stock,AU0000020877,AR9,Archtis Ltd
ARA,Ariadne Australia Ltd,Australia,AU,AUD,Common Stock,AU000000ARA7,ARA,Ariadne Australia Ltd
ARB,ARB Corporation Ltd,Australia,AU,AUD,Common Stock,AU000000ARB5,ARB,ARB Corporation Ltd
ARC,ARC Funds Ltd,Australia,AU,AUD,Common Stock,AU000000ARC3,ARC,ARC Funds Ltd
ARD,Argent Minerals Ltd,Australia,AU,AUD,Common Stock,AU000000ARD1,ARD,Argent Minerals Ltd
ARF,Arena REIT,Australia,AU,AUD,Common Stock,AU000000ARF6,ARF,Arena REIT
ARG,Argo Investments Ltd,Australia,AU,AUD,Common Stock,AU000000ARG4,ARG,Argo Investments Ltd
ARI,Arika Resources Ltd,Australia,AU,AUD,Common Stock,,ARI,Arika Resources Ltd
ARL,Ardea Resources Ltd,Australia,AU,AUD,Common Stock,AU000000ARL4,ARL,Ardea Resources Ltd
